date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:06:25	274/274	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2020%20Feb%202025%2020:06:24%20GMT	http://51.77.48.159/robots.txt		(from )
21:06:25	9548/9548	---M-Z	200	added ('OK')	text/html	etag:%22254c-62e984c66448b-gzip%22	http://51.77.48.159/demObywatel_Jacob_test_gT9U2vWwCB/	C:/My%20Web%20Sites/mobywatelson/51.77.48.159/demObywatel_Jacob_test_gT9U2vWwCB/index.html	(from )
21:06:25	1238/1238	---M-Z	200	added ('OK')	text/javascript	etag:%224d6-62db3be568100-gzip%22	http://51.77.48.159/sw.js	C:/My%20Web%20Sites/mobywatelson/51.77.48.159/sw.js	(from http://51.77.48.159/demObywatel_Jacob_test_gT9U2vWwCB/)
21:06:25	274/274	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2020%20Feb%202025%2020:06:25%20GMT	http://51.77.48.159/cdnjs.cloudflare.com/ajax/libs/font-awesome/5.15.4/css/all.min.css	C:/My%20Web%20Sites/mobywatelson/51.77.48.159/cdnjs.cloudflare.com/ajax/libs/font-awesome/5.15.4/css/all.min.css	(from http://51.77.48.159/demObywatel_Jacob_test_gT9U2vWwCB/)
21:06:26	17139/17139	---M-Z	200	added ('OK')	text/html	etag:%2242f3-62e984c66448b-gzip%22	http://51.77.48.159/demObywatel_Jacob_test_gT9U2vWwCB/dashboard.html	C:/My%20Web%20Sites/mobywatelson/51.77.48.159/demObywatel_Jacob_test_gT9U2vWwCB/dashboard.html	(from http://51.77.48.159/demObywatel_Jacob_test_gT9U2vWwCB/)
21:06:26	274/274	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2020%20Feb%202025%2020:06:25%20GMT	http://51.77.48.159/demObywatel_Jacob_test_gT9U2vWwCB/chrome-extension_/dacdinoicboceafielngnmjjplncljhj/content.html	C:/My%20Web%20Sites/mobywatelson/51.77.48.159/demObywatel_Jacob_test_gT9U2vWwCB/chrome-extension_/dacdinoicboceafielngnmjjplncljhj/content.html	(from http://51.77.48.159/demObywatel_Jacob_test_gT9U2vWwCB/dashboard.html)
21:06:26	10796/10796	---M-Z	200	added ('OK')	text/html	etag:%222a2c-62e984c66448b-gzip%22	http://51.77.48.159/demObywatel_Jacob_test_gT9U2vWwCB/documents.html	C:/My%20Web%20Sites/mobywatelson/51.77.48.159/demObywatel_Jacob_test_gT9U2vWwCB/documents.html	(from http://51.77.48.159/demObywatel_Jacob_test_gT9U2vWwCB/dashboard.html)
21:06:26	20188/20188	---M-Z	200	added ('OK')	text/html	etag:%224edc-62e984c66448b-gzip%22	http://51.77.48.159/demObywatel_Jacob_test_gT9U2vWwCB/dowodnowy.html	C:/My%20Web%20Sites/mobywatelson/51.77.48.159/demObywatel_Jacob_test_gT9U2vWwCB/dowodnowy.html	(from http://51.77.48.159/demObywatel_Jacob_test_gT9U2vWwCB/dashboard.html)
21:06:27	19041/19041	---M-Z	200	added ('OK')	text/html	etag:%224a61-62e984c66448b-gzip%22	http://51.77.48.159/demObywatel_Jacob_test_gT9U2vWwCB/services.html	C:/My%20Web%20Sites/mobywatelson/51.77.48.159/demObywatel_Jacob_test_gT9U2vWwCB/services.html	(from http://51.77.48.159/demObywatel_Jacob_test_gT9U2vWwCB/dashboard.html)
21:06:27	9638/9638	---M--	200	added ('OK')	image/png	etag:%2225a6-627b1dac06340%22	http://51.77.48.159/images/auto.png	C:/My%20Web%20Sites/mobywatelson/51.77.48.159/images/auto.png	(from http://51.77.48.159/demObywatel_Jacob_test_gT9U2vWwCB/dashboard.html)
